full_name,email_address,inspector_role,is_inspector,assigned_region
Bret Finnegan,bfinnegan@abcsevices.onmicrosoft.com,Inspector,1,1
Dillon Krueger,dkrueger@abcsevices.onmicrosoft.com,Inspector,1,2
Kathy Meza,kmeza@abcsevices.onmicrosoft.com,Inspector,1,3
Jake Kay,jkay@abcsevices.onmicrosoft.com,Inspector,1,4
Benny Blanco,bblanco@abcsevices.onmicrosoft.com,Inspector,1,5
David Schmitt,dschmitt@abcsevices.onmicrosoft.com,Lead Inspector,1,6
Jenna Stubbs,jstubbs@abcsevices.onmicrosoft.com,Inspector,1,7
Rahul Riggs,rriggs@abcsevices.onmicrosoft.com,Inspector,1,8
Dirk Gently,dgently@abcsevices.onmicrosoft.com,Inspector,1,9
Susie Salt,ssalt@abcsevices.onmicrosoft.com,Inspector,1,10
Sarah Murphy,smurphy@abcsevices.onmicrosoft.com,Inspector,1,11
Adam Juan,ajuan@abcsevices.onmicrosoft.com,Inspector,1,12
Mark Tyson,mtyson@abcsevices.onmicrosoft.com,Inspector,1,13
Aden Holt,aholt@abcsevices.onmicrosoft.com,Inspector,1,14
Lauren Burns,lburns@abcsevices.onmicrosoft.com,Inspector,1,15
Jean LeBean ,jlebean@abcsevices.onmicrosoft.com,Inspector,1,16
Samantha Cook,scook@abcsevices.onmicrosoft.com,Chief Inspector,0,0
